NOM_AGENT_INSTRUMENT	VERBE	NOMINALISATION	pVbAg	pVbAc	pAgAc	LABEL
guideur	guider	guidage	0.1608385972249274	0.4189022554388974	0.38231943838005417	pVbAc
guillotineur	guillotiner	guillotinage	0.14683118319089383	0.24497008005462226	0.04312260812913172	pVbAc
habilleur	habiller	habillement	0.3720406275143879	0.4272200692407774	0.37275524322912795	pVbAc
habilleur	habiller	habillage	0.3720406275143879	0.23815735847312047	0.30502262092920507	pAgVb
habilleuse	habiller	habillement	0.01399749258976981	0.4272200692407774	0.026754534575446916	pVbAc
habilleuse	habiller	habillage	0.01399749258976981	0.23815735847312047	0.07174792595962524	pVbAc
hacheur	hacher	hachement	0.20150120007965175	0.19711591628564853	0.034516821375643464	pAgVb
hacheur	hacher	hachage	0.20150120007965175	0.3091446581765604	0.4135483430858683	pAgAc
hachurateur	hachurer	hachure	0.14438434082854595	0.7304248825544865	0.047462370530400796	pVbAc
haleur	haler	halage	0.5496020957803428	0.43557143133935783	0.5336161635805845	pAgVb
handicapeur	handicaper	handicap	0.028606484625022247	0.6316193426387056	0.047276214950927174	pVbAc
harangueur	haranguer	harangue	0.2596992275122101	0.4752417292170633	0.18766642176587167	pVbAc
harceleur	harceler	harcèlement	0.35009983390213834	0.4399945286234896	0.642079295544082	pAgAc
harceleuse	harceler	harcèlement	0.05327399121565358	0.4399945286234896	0.026444801915513964	pVbAc
harmonisateur	harmoniser	harmonisation	0.13100468020489428	0.7246690815414216	0.06584988016241561	pVbAc
harmoniseur	harmoniser	harmonisation	0.20658324662586908	0.7246690815414216	0.17300755400452497	pVbAc
harnacheur	harnacher	harnachement	0.1889587699141114	0.654969773533879	0.22397971712356088	pVbAc
harponneur	harponner	harponnage	0.38738704089599113	0.3078745229360243	0.279307824343139	pAgVb
haveur	haver	havage	0.05140871073659554	0.029987236224094306	0.34283596365212865	pAgAc
haveuse	haver	havage	0.10139899065136691	0.029987236224094306	0.10083030492080945	pAgVb
hébergeur	héberger	hébergement	0.29121251929426434	0.5151842345756108	0.517898617843757	pAgAc
héliporteur	héliporter	héliportage	0.39383790146408976	0.6085160095768005	0.18940273785428438	pVbAc
hocheur	hocher	hochement	0.16546587919287778	0.6495179446989773	0.17582415176698002	pVbAc
homogénéisateur	homogénéiser	homogénéisation	0.01804540009844353	0.510692672835246	0.18716057421432278	pVbAc
